学校名称,经度_WGS84,纬度_WGS84,经度_GCJ02,纬度_GCJ02,500m内公园数量,500m内公园名称,最近公园名称,最近公园步行距离_米,最近公园步行时间_秒,校内绿地率,外围绿地率,总体绿地率,所属类别
海淀区六郎庄小学,116.287225,39.989586,116.293288,39.99083,1,AI未来公园,AI未来公园,638,510,21.50%,30.30%,29.50%,校内低_外围高
海淀区北安河中心小学,116.11157,40.065675,116.117904,40.067076,0,,海棠春坞公园,1933,1546,19.60%,34.20%,31.50%,校内低_外围高
海淀区双榆树第一小学,116.321212,39.968923,116.327338,39.970224,2,双榆树公园; 知春公园,双榆树公园,284,227,14.30%,28.00%,27.00%,校内低_外围高
海淀区和平小学（东埠头校区）（辛庄校区）,116.14556,40.062855,116.151828,40.064217,0,,公园,1549,1239,16.30%,31.70%,29.50%,校内低_外围高
海淀区培星小学（北校区）,116.244866,40.007905,116.25091,40.009125,0,,功德寺公园,1245,996,17.10%,43.00%,41.30%,校内低_外围高
海淀区培星小学（南校区）,116.250394,40.003446,116.256435,40.004666,1,功德寺公园,功德寺公园,251,201,27.80%,58.80%,55.70%,校内低_外围高
海淀区太平路小学,116.253248,39.900279,116.259276,39.901495,0,,青塔街心广场,1263,1010,12.50%,32.50%,29.70%,校内低_外围高
海淀区太平路小学（分校）,116.248687,39.904816,116.254717,39.906032,0,,永定路街道街心公园,1155,924,21.60%,31.30%,30.80%,校内低_外围高
海淀区学院路小学,116.34509,39.969559,116.35127,39.970905,0,,北京航空航天大学学院路校区唯实园,1387,1110,28.80%,29.30%,29.40%,校内低_外围高
海淀区定慧里小学,116.274841,39.920921,116.280881,39.922149,2,定慧公园怡趣园; 定慧公园,定慧公园怡趣园,241,193,24.20%,33.60%,32.60%,校内低_外围高
海淀区实验小学（花园村校区）,116.302564,39.926235,116.308645,39.9275,0,,中塔公园,1220,976,24.20%,31.30%,30.40%,校内低_外围高
海淀区实验小学（苏州街校区）,116.298962,39.94979,116.30504,39.95105,1,南长河公园,生命之光人口文化园,720,576,27.50%,46.20%,43.60%,校内低_外围高
海淀区永丰中心小学（宏丰校区）,116.232024,40.045516,116.238084,40.046744,0,,五一渠生态滨河公园,1913,1530,27.20%,45.50%,43.20%,校内低_外围高
海淀区玉泉小学,116.248943,39.917046,116.254973,39.918262,1,阳光星期八公园,阳光星期八公园,434,347,9.50%,30.70%,28.40%,校内低_外围高
海淀区玉泉小学（五里校区）,116.251058,39.919676,116.257089,39.920893,1,阜石路南侧绿地公园西区,阜石路南侧绿地公园西区,794,635,18.80%,36.10%,34.50%,校内低_外围高
海淀区第二实验小学橡树校区,116.324799,40.028703,116.33094,40.030013,1,街心公园,街心公园,814,651,27.30%,28.10%,28.10%,校内低_外围高
海淀区第二实验小学（汇缘校区）,116.317653,40.027501,116.323779,40.028797,1,爱之园,爱之园,640,512,22.90%,31.40%,30.70%,校内低_外围高
海淀区红英小学（六里屯校区）,116.246576,40.062205,116.252626,40.063427,0,,丰滢公园,1672,1338,25.30%,31.60%,31.10%,校内低_外围高
海淀区红英小学（唐家岭校区）,116.268641,40.062824,116.274694,40.064053,0,,中关村公园西区,1004,803,25.60%,31.20%,30.80%,校内低_外围高
海淀区红英小学（韩家川校区）,116.234999,40.033284,116.241054,40.034509,0,,北京觅特体育公园,1954,1563,18.10%,39.90%,37.90%,校内低_外围高
海淀区翠微小学（西校区）,116.29087,39.912237,116.296929,39.913483,0,,滨角园口袋公园,920,736,17.00%,31.50%,30.10%,校内低_外围高
海淀区育鹰小学（东校区）,116.328114,40.048778,116.334266,40.050095,0,,西三旗绿色海岸,1121,897,22.90%,34.60%,33.60%,校内低_外围高
首都师范大学附属小学（柳明校区）,116.231915,39.920433,116.237959,39.921655,0,,什坊园公园,1564,1251,2.10%,51.70%,46.80%,校内低_外围高
香山小学,116.199725,39.987371,116.205837,39.988633,0,,中国科学院植物研究所北京植物园,787,630,21.10%,43.40%,41.20%,校内低_外围高
中关村一小科学城分校,116.198586,40.047931,116.204708,40.049197,2,画眉山滨水公园; 太舟坞公园,太舟坞公园,591,473,22.00%,27.00%,26.30%,校内低_外围低
中关村第二小学（万泉河分校）,116.295409,39.985128,116.301485,39.986385,0,,AI未来公园,913,730,10.80%,26.20%,24.70%,校内低_外围低
中国农业大学附属小学,116.272758,40.020266,116.278808,40.021497,0,,肖家河·绿动天地,1501,1201,21.50%,26.10%,25.60%,校内低_外围低
中国农业科学院附属小学（政法路校区）,116.344259,39.961927,116.350436,39.963271,0,,美丽北太,1710,1368,25.90%,27.20%,27.20%,校内低_外围低
人大附中北大附小联合实验学校,116.166796,40.072819,116.173009,40.074144,0,,龙湖光合公园,2621,2097,29.10%,25.90%,27.20%,校内低_外围低
北京交通大学附属小学（东校区）,116.342229,39.951726,116.348401,39.953066,1,北京交通大学芳华园,北京交通大学芳华园,652,522,14.50%,26.00%,25.00%,校内低_外围低
北京外国语大学附属小学（万寿寺校区）,116.306513,39.950203,116.312605,39.951476,2,文园(民族大学西路); 中欧友谊花园,文园(民族大学西路),431,345,17.30%,27.00%,26.40%,校内低_外围低
北京市海淀北部新区实验学校（小学部）,116.144959,40.097952,116.151233,40.099317,0,,沙涧河公园,1158,926,26.50%,22.70%,23.50%,校内低_外围低
北京市海淀区万泉小学（小南庄校区）,116.299828,39.966758,116.305909,39.968021,1,万泉河路红领巾街心花园,万泉河路红领巾街心花园,461,369,19.10%,16.00%,16.30%,校内低_外围低
北京理工大学附属中学（小学部）,116.297707,39.945064,116.303781,39.946322,1,南长河公园,南长河公园,868,694,22.70%,23.20%,23.20%,校内低_外围低
北京邮电大学附属小学（志强校区）,116.358637,39.946299,116.364842,39.947667,1,老舍公园,老舍公园,678,542,11.50%,27.00%,26.40%,校内低_外围低
北京邮电大学附属小学（文慧园校区）,116.353933,39.950071,116.360129,39.951432,1,美丽北太,美丽北太,472,378,25.90%,16.00%,17.00%,校内低_外围低
北京邮电大学附属小学（海淀区今典小学）,116.353962,39.954092,116.360159,39.955453,0,,美丽北太,666,533,27.20%,15.70%,17.20%,校内低_外围低
北大附中新馨学校（小学部）,116.346332,40.056902,116.352526,40.058254,0,,新康园社区口袋公园,1678,1342,15.70%,21.00%,20.10%,校内低_外围低
和平小学杨家庄校区,116.188046,40.041612,116.194195,40.042896,0,,温泉儿童生态体验园,945,756,25.70%,16.40%,17.80%,校内低_外围低
海淀区上地实验小学（上庄校区）,116.195982,40.126786,116.202121,40.128063,2,威凯居住区绿地公园; 蜂巢绿地,威凯居住区绿地公园,792,634,20.60%,19.50%,19.80%,校内低_外围低
海淀区上庄中心小学（上庄校区）,116.207907,40.112549,116.214016,40.113806,0,,皂甲屯休闲公园,1215,972,27.30%,24.20%,24.90%,校内低_外围低
海淀区上庄中心小学（东马坊校区）,116.193431,40.09311,116.199572,40.094388,0,,东马坊健身公园,753,602,29.30%,8.90%,12.20%,校内低_外围低
海淀区中关村第三小学（万柳北校区）,116.289577,39.967614,116.295641,39.968861,0,,长春健身园,819,655,18.00%,26.10%,24.60%,校内低_外围低
海淀区中关村第三小学（万柳南校区）,116.291503,39.961245,116.297569,39.962495,0,,长春健身园,686,549,24.50%,26.50%,26.30%,校内低_外围低
海淀区八里庄小学,116.293851,39.926451,116.299916,39.927703,1,玲珑塔公园,玲珑塔公园,708,566,13.60%,11.90%,12.20%,校内低_外围低
海淀区北安河中心小学（周家巷校区）,116.12315,40.053115,116.129466,40.054506,0,,温泉村党建主题公园,2539,2031,8.50%,4.20%,4.70%,校内低_外围低
海淀区台头小学（红星校区）,116.11576,40.080087,116.122091,40.081486,0,,海棠春坞公园,2468,1974,23.80%,7.70%,10.30%,校内低_外围低
海淀区图强第二小学,116.265274,39.908159,116.271305,39.90938,1,五棵松奥林匹克文化公园,轮上公园,925,740,20.30%,24.30%,24.00%,校内低_外围低
海淀区实验小学（阜成路校区）,116.307948,39.921819,116.314039,39.923093,1,诗情画意文化广场,阜成路口袋公园,792,634,19.20%,21.10%,21.00%,校内低_外围低
海淀区振兴小学,116.218637,40.133607,116.224727,40.134852,0,,永泰庄纳兰文化公园,1865,1492,6.70%,6.70%,6.80%,校内低_外围低
海淀区永丰中心小学（屯佃校区）,116.211085,40.061147,116.217181,40.062396,0,,永丰公园,2062,1650,27.60%,21.30%,22.30%,校内低_外围低
海淀区永泰小学,116.351962,40.031725,116.358164,40.033086,1,永泰公园,永泰公园,271,217,16.20%,24.80%,23.70%,校内低_外围低
海淀区永泰小学（清缘里校区）,116.350825,40.027651,116.357025,40.02901,0,,旗舞广场公园,861,689,19.10%,27.30%,26.40%,校内低_外围低
海淀区红英小学（冷泉校区）,116.214729,40.029412,116.220814,40.030655,0,,画眉山滨水公园,3255,2604,28.60%,14.00%,16.40%,校内低_外围低
海淀区羊坊店中心小学,116.320406,39.899402,116.326522,39.900698,0,,会城门公园,859,687,28.40%,20.30%,21.50%,校内低_外围低
海淀区羊坊店中心小学（低年级部）,116.320144,39.89803,116.326259,39.899326,0,,会城门公园,816,653,15.60%,21.10%,20.80%,校内低_外围低
海淀区羊坊店第五小学,116.322225,39.900729,116.328344,39.902029,1,会城门公园,会城门公园,566,453,20.40%,23.40%,23.10%,校内低_外围低
海淀区羊坊店第四小学,116.313603,39.902074,116.319704,39.903358,0,,中华世纪坛公园,1114,891,25.50%,9.50%,11.70%,校内低_外围低
海淀区翠微小学,116.297594,39.908439,116.303664,39.909696,0,,小天鹅公园,855,684,29.30%,13.30%,15.80%,校内低_外围低
海淀区翠湖小学（白水洼校区）,116.200473,40.134573,116.206602,40.135843,0,,浮青园,1562,1250,26.20%,15.40%,17.40%,校内低_外围低
海淀区育鹰小学（西校区）,116.318425,40.053439,116.324555,40.054739,1,龙域休闲公园,龙域休闲公园,701,561,12.80%,25.40%,23.90%,校内低_外围低
海淀区花园村第二小学（潘庄校区）,116.311433,39.933866,116.317533,39.935147,0,,紫竹院公园,1367,1094,25.50%,27.50%,27.50%,校内低_外围低
海淀区苏家坨中心小学（苏三四校区）,116.167385,40.075969,116.173596,40.077293,0,,龙湖光合公园,2333,1866,26.30%,16.30%,17.90%,校内低_外围低
海淀区苏家坨中心小学（西小营校区）,116.152548,40.071768,116.158799,40.073118,0,,公园,1907,1526,23.50%,15.10%,16.40%,校内低_外围低
海淀第二实验小学安宁分校,116.317932,40.048788,116.324061,40.050086,1,安宁庄公园,安宁庄公园,350,280,29.50%,26.80%,27.40%,校内低_外围低
清华大学附属小学清河分校（强佑校区）,116.337451,40.028216,116.343621,40.029551,0,,旗舞广场公园,687,550,18.90%,18.70%,18.80%,校内低_外围低
清华大学附属小学清河分校（朱房校区）,116.332268,40.027159,116.338427,40.028484,0,,清河燕清体育文化公园,894,715,7.00%,17.20%,16.30%,校内低_外围低
翠湖小学前章村校区,116.17422,40.123838,116.180418,40.125153,0,,威凯居住区绿地公园,1928,1542,28.70%,17.20%,19.40%,校内低_外围低
首都师范大学实验小学（北校区）,116.323393,39.932633,116.32952,39.933936,0,,阜成路口袋公园,1927,1542,4.50%,22.90%,20.30%,校内低_外围低
首都师范大学实验小学（南校区）,116.321657,39.928817,116.327779,39.930117,0,,阜成路口袋公园,1851,1481,13.00%,15.10%,14.90%,校内低_外围低
