学校名称,经度_GCJ02,纬度_GCJ02,公园名称,公园类型,公园经度,公园纬度,直线距离_米,步行距离_米,步行时间_秒,是否500m内
海淀区科技园小学大牛坊校区,116.240537,40.067330,悦康公园,风景名胜;公园广场;公园,116.236806,40.082608,1730,2586,2069,否
海淀区科技园小学大牛坊校区,116.240537,40.067330,五一渠生态滨河公园,风景名胜;公园广场;公园,116.253315,40.052800,1949,2607,2086,否
海淀区科技园小学大牛坊校区,116.240537,40.067330,航天湖公园,风景名胜;公园广场;公园,116.263445,40.070757,1988,3410,2728,否
海淀区科技园小学（西玉河校区）,116.237922,40.095421,玉河湿地公园,风景名胜;公园广场;公园,116.239230,40.095837,120,274,219,是
海淀区科技园小学（西玉河校区）,116.237922,40.095421,西玉河雨水湿地公园,风景名胜;公园广场;公园,116.239222,40.095853,120,274,219,是
海淀区科技园小学（西玉河校区）,116.237922,40.095421,上庄镇法治公园,风景名胜;公园广场;公园,116.226785,40.102269,1216,4452,3562,否
海淀区科技园小学（西玉河校区）,116.237922,40.095421,北京亿城大学花草公园,风景名胜;公园广场;公园,116.240280,40.106663,1267,3184,2547,否
海淀区科技园小学（西玉河校区）,116.237922,40.095421,西北旺公园,风景名胜;公园广场;公园,116.253223,40.100362,1414,1478,1182,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,安宁庄公园,风景名胜;公园广场;公园,116.320711,40.049636,668,1087,870,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,快乐成长家庭人口文化园,风景名胜;公园广场;公园,116.309559,40.050644,1045,1869,1495,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,美和园公园,风景名胜;公园广场;公园,116.323264,40.035240,1062,1569,1255,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,1195,1849,1479,否
海淀区第二实验小学（当代校区）,116.318175,40.043956,爱之园,风景名胜;公园广场;公园,116.320138,40.030581,1498,2325,1860,否
海淀区第四实验小学,116.210356,39.971946,梵香公园,风景名胜;公园广场;公园,116.207911,39.979681,885,1097,878,否
海淀区第四实验小学,116.210356,39.971946,南旱河公园,风景名胜;公园广场;公园,116.220886,39.973419,913,1524,1219,否
海淀区第四实验小学,116.210356,39.971946,丹青圃公园,风景名胜;公园广场;公园,116.226989,39.975329,1468,2176,1741,否
